"interaction","name","Score","selected","shared interaction","shared name"
"interacts-with","ALDH3B1 (interacts-with) FMN2","0.99793236406064","false","interacts-with","ALDH3B1 (interacts-with) FMN2"
"interacts-with","VPS13A (interacts-with) PPIAL4G","0.992438046749816","false","interacts-with","VPS13A (interacts-with) PPIAL4G"
"interacts-with","KLRC2 (interacts-with) ATP12A","0.834503490876177","false","interacts-with","KLRC2 (interacts-with) ATP12A"
"interacts-with","HNRNPCL1 (interacts-with) PRKRA","0.975113519539438","false","interacts-with","HNRNPCL1 (interacts-with) PRKRA"
"interacts-with","HLA-DQA1 (interacts-with) PLXNA1","0.661302944546969","false","interacts-with","HLA-DQA1 (interacts-with) PLXNA1"
"interacts-with","DCAF12 (interacts-with) BIRC6","0.97641757173796","false","interacts-with","DCAF12 (interacts-with) BIRC6"
"interacts-with","DCAF12 (interacts-with) TUBA3C","0.999981096465262","false","interacts-with","DCAF12 (interacts-with) TUBA3C"
"interacts-with","HNRNPCL1 (interacts-with) BCLAF1","0.857989291358512","false","interacts-with","HNRNPCL1 (interacts-with) BCLAF1"
"interacts-with","C3 (interacts-with) PDE4DIP","0.99963675576485","false","interacts-with","C3 (interacts-with) PDE4DIP"
"interacts-with","HLA-DQA1 (interacts-with) PLXNA3","0.453914514338169","false","interacts-with","HLA-DQA1 (interacts-with) PLXNA3"
"interacts-with","GSN (interacts-with) STX17","0.894037455699877","false","interacts-with","GSN (interacts-with) STX17"
"interacts-with","MECOM (interacts-with) MYH7","0.999999987420395","false","interacts-with","MECOM (interacts-with) MYH7"
"interacts-with","U2AF2 (interacts-with) SRRM2","0.168834805632994","false","interacts-with","U2AF2 (interacts-with) SRRM2"
"interacts-with","MECOM (interacts-with) NEB","0.999970516519904","false","interacts-with","MECOM (interacts-with) NEB"
"interacts-with","U2AF2 (interacts-with) SCAF1","0.992752543574255","false","interacts-with","U2AF2 (interacts-with) SCAF1"
"interacts-with","GSN (interacts-with) BCL7A","0.999343764601634","false","interacts-with","GSN (interacts-with) BCL7A"
"interacts-with","STX17 (interacts-with) C3","0.999998780269102","false","interacts-with","STX17 (interacts-with) C3"
"interacts-with","ATP2B3 (interacts-with) AVPR2","0.999965858133336","false","interacts-with","ATP2B3 (interacts-with) AVPR2"
"interacts-with","GSN (interacts-with) POTEF","0.99999076194808","false","interacts-with","GSN (interacts-with) POTEF"
"interacts-with","MECOM (interacts-with) TTN","0.999979303115112","false","interacts-with","MECOM (interacts-with) TTN"
"interacts-with","METTL15 (interacts-with) KIR3DL2","0.970653620035098","false","interacts-with","METTL15 (interacts-with) KIR3DL2"
"interacts-with","SLC7A1 (interacts-with) MBOAT7","0.947539652919289","false","interacts-with","SLC7A1 (interacts-with) MBOAT7"
"interacts-with","STX17 (interacts-with) MYH14","0.84529862516646","false","interacts-with","STX17 (interacts-with) MYH14"
"interacts-with","ARHGEF35 (interacts-with) ARHGEF5","0.999999999972883","false","interacts-with","ARHGEF35 (interacts-with) ARHGEF5"
"interacts-with","PRKRA (interacts-with) TAF1A","0.985314565392305","false","interacts-with","PRKRA (interacts-with) TAF1A"
"interacts-with","NCR3LG1 (interacts-with) KIR2DL4","0.873063087611057","false","interacts-with","NCR3LG1 (interacts-with) KIR2DL4"
"interacts-with","C16orf87 (interacts-with) ANAPC1","0.999891392251046","false","interacts-with","C16orf87 (interacts-with) ANAPC1"
"interacts-with","U2AF2 (interacts-with) BCLAF1","0.952751138715691","false","interacts-with","U2AF2 (interacts-with) BCLAF1"
"interacts-with","PRKRA (interacts-with) ZNF646","0.992092910402743","false","interacts-with","PRKRA (interacts-with) ZNF646"
"interacts-with","TRAF3 (interacts-with) KRT38","0.999472210990885","false","interacts-with","TRAF3 (interacts-with) KRT38"
"interacts-with","PRKRA (interacts-with) BMS1","0.405448490132917","false","interacts-with","PRKRA (interacts-with) BMS1"
"interacts-with","AP2M1 (interacts-with) AMER1","0.99999673194343","false","interacts-with","AP2M1 (interacts-with) AMER1"
"interacts-with","STX17 (interacts-with) EPPK1","0.999801460688689","false","interacts-with","STX17 (interacts-with) EPPK1"
"interacts-with","TUBB8 (interacts-with) KLRC2","0.796583259172569","false","interacts-with","TUBB8 (interacts-with) KLRC2"
"interacts-with","NCR3LG1 (interacts-with) SLC7A1","0.80424628804224","false","interacts-with","NCR3LG1 (interacts-with) SLC7A1"
