"alias","Matching.Attribute","name","Organism Taxon Id","querynode","represents","selected","shared name","Type"
"MGC:17061|RAFI48|SL1|TAFI48","TAF1A","TAF1A","9606","true","ensembl:ENSG00000143498","false","TAF1A","SourceNode;gene;protein"
"BA2R|CCG1|CCGS|DYT3|DYT3/TAF1|KAT4|N-TAF1|NSCL2|OF|P250|TAF(II)250|TAF2A|TAFII-250|TAFII250|XDP","TAF1","TAF1","9606","true","TAF1","false","TAF1","SourceNode;gene;protein"
"GPR58|taR-2","TAAR2","TAAR2","9606","true","ncbigene:9287","false","TAAR2","SourceNode;gene;protein"
"MRD5|RASA1|RASA5|SYNGAP","SYNGAP1","SYNGAP1","9606","true","ncbigene:8831","false","SYNGAP1","SourceNode;gene;protein"
"EDMD5|NUA|NUANCE|Nesp2|Nesprin-2|SYNE-2|TROPH","SYNE2","SYNE2","9606","true","ncbigene:23224","false","SYNE2","SourceNode;gene;protein"
"8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2","SYNE1","SYNE1","9606","true","ensembl:ENSG00000131018","false","SYNE1","SourceNode;gene;protein"
,"SVIL","SVIL","9606","true","ncbigene:6840","false","SVIL","SourceNode;gene;protein"
,"SUOX","SUOX","9606","true","ncbigene:6821","false","SUOX","SourceNode;gene;protein"
"C7orf10|DERP13|ORF19","SUGCT","SUGCT","9606","true","ncbigene:79783","false","SUGCT","SourceNode;protein"
"ncbigene:55014","STX17","STX17","9606","true","uniprot:P56962","false","STX17","SourceNode;gene;protein"
"CDG1X|SIMP|STT3-B","STT3B","STT3B","9606","true","ncbigene:201595","false","STT3B","SourceNode;gene;protein"
"DFNB16","STRC","STRC","9606","true","entrez gene:161497","false","STRC","SourceNode;gene;protein"
"ALS2CR2|CALS-21|ILPIP|ILPIPA|PAPK","STRADB","STRADB","9606","true","STRADB","false","STRADB","SourceNode;gene;protein"
,"STARD9","STARD9","9606","true","entrez gene:57519","false","STARD9","SourceNode;gene;protein"
"BKS","STAP2","STAP2","9606","true","ncbigene:55620","false","STAP2","SourceNode;gene;protein"
"CLEVER-1|FEEL-1|FELE-1|FEX1|STAB-1","STAB1","STAB1","9606","true","ncbigene:23166","false","STAB1","SourceNode;gene;protein"
"SS-3-R|SS3-R|SS3R|SSR-28","SSTR3","SSTR3","9606","true","ncbigene:6753","false","SSTR3","SourceNode;gene;protein"
"ncbigene:23524|300-KD|CWF21|Cwc21|SRL300|SRm300","SRRM2","SRRM2","9606","true","ncbigene:23524","false","SRRM2","SourceNode;gene;protein"
"ncbigene:23380|ARHGAP34|FNBP2|SRGAP2A|SRGAP3","SRGAP2","SRGAP2","9606","true","uniprot:O75044","false","SRGAP2","SourceNode;gene;protein"
"QV|SPNB4|SPTBN3","SPTBN4","SPTBN4","9606","true","ncbigene:57731","false","SPTBN4","SourceNode;gene;protein"
"EL3|HS2|HSPTB1|SPH2","SPTB","SPTB","9606","true","ensembl:ENSG00000070182","false","SPTB","SourceNode;gene;protein"
"ncbigene:6709|EIEE5|NEAS|SPTA2","SPTAN1","SPTAN1","9606","true","ncbigene:6709","false","SPTAN1","SourceNode;gene;protein"
"EL2|HPP|HS3|SPH3|SPTA","SPTA1","SPTA1","9606","true","SPTA1","false","SPTA1","SourceNode;gene;protein"
"HSPRY3|spry-3","SPRY3","SPRY3","9606","true","ncbigene:10251","false","SPRY3","SourceNode;gene;protein"
"C9orf36|C9orf36A|FAM75A1|FAM75A2|SPATA31A2","SPATA31A1","SPATA31A1","9606","true","ncbigene:647060","false","SPATA31A1","SourceNode;protein"
"LYSP100|LYSP100-A|LYSP100-B","SP140","SP140","9606","true","SP140","false","SP140","SourceNode;gene;protein"
"ECTODIN|USAG1","SOSTDC1","SOSTDC1","9606","true","ncbigene:25928","false","SOSTDC1","SourceNode;gene;protein"
"ncbigene:23020|ASCC3L1|BRR2|HELIC2|RP33|U5-200KD","SNRNP200","SNRNP200","9606","true","uniprot:O75643","false","SNRNP200","SourceNode;gene;protein"
"ncbigene:10051|CAP-C|CAPC|SMC-4|SMC4L1|hCAP-C","SMC4","SMC4","9606","true","ncbigene:10051","false","SMC4","SourceNode;gene;protein"
,"SLC9B1P1","SLC9B1P1",,,,"false","SLC9B1P1","SourceNode"
"ATRC1|CAT-1|ERR|HCAT1|REC1L","SLC7A1","SLC7A1","9606","true","entrez gene:6541","false","SLC7A1","SourceNode;gene;protein"
"AMAC|AMAC1L2","SLC35G5","SLC35G5","9606","true","ncbigene:83650","false","SLC35G5","SourceNode;gene;protein"
"GLUT3","SLC2A3","SLC2A3","9606","true","entrez gene:6515","false","SLC2A3","SourceNode;gene;protein"
"2F1|AAC2|ANT2|T2|T3","SLC25A5","SLC25A5","9606","true","SLC25A5","false","SLC25A5","SourceNode;gene;protein"
"NET46","SLC22A24","SLC22A24","9606","true","ncbigene:283238","false","SLC22A24","SourceNode;gene;protein"
"OAT10|OCTL1|OCTL3|ORCTL-3|ORCTL3","SLC22A13","SLC22A13","9606","true","ncbigene:9390","false","SLC22A13","SourceNode;gene;protein"
"NCC|NCCT|TSC","SLC12A3","SLC12A3","9606","true","ncbigene:6559","false","SLC12A3","SourceNode;gene;protein"
"19A|CD319|CRACC|CS1","SLAMF7","SLAMF7","9606","true","SLAMF7","false","SLAMF7","SourceNode;gene;protein"
"CORL1|FUSSEL15|LBXCOR1","SKOR1","SKOR1","9606","true","ncbigene:390598","false","SKOR1","SourceNode;protein"
"C13orf3|RAMA1","SKA3","SKA3","9606","true","ncbigene:221150","false","SKA3","SourceNode;gene;protein"
"CD172b|SIRP-BETA-1","SIRPB1","SIRPB1","9606","true","ncbigene:10326","false","SIRPB1","SourceNode;gene;protein"
"BIT|CD172A|MFR|MYD-1|P84|PTPNS1|SHPS1|SIRP","SIRPA","SIRPA","9606","true","ncbigene:140885","false","SIRPA","SourceNode;gene;protein"
"CD169|SIGLEC-1|SN|dJ1009E24.1","SIGLEC1","SIGLEC1","9606","true","ncbigene:6614","false","SIGLEC1","SourceNode;gene;protein"
"DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2","SHANK3","SHANK3","9606","true","ncbigene:85358","false","SHANK3","SourceNode;gene;protein"
"COLEC4|PSAP|PSP-A|PSPA|SFTP1|SFTPA1B|SP-A|SP-A1|SPA|SPA1","SFTPA1","SFTPA1","9606","true","ncbigene:653509","false","SFTPA1","SourceNode;gene;protein"
"ncbigene:10946|PRP9|PRPF9|SAP61|SF3a60","SF3A3","SF3A3","9606","true","entrez gene:10946","false","SF3A3","SourceNode;gene;protein"
"PRP11|PRPF11|SAP62|SF3a66|ncbigene:8175","SF3A2","SF3A2","9606","true","SF3A2","false","SF3A2","SourceNode;gene;protein"
"KMT2F|Set1|Set1A","SETD1A","SETD1A","9606","true","SETD1A","false","SETD1A","SourceNode;gene;protein"
"A1A|A1AT|AAT|PI|PI1|PRO2275|alpha1AT","SERPINA1","SERPINA1","9606","true","ensembl:ENSG00000197249","false","SERPINA1","SourceNode;gene;protein"
"TDE1L|TDE2|TMS-2|TMS2","SERINC1","SERINC1","9606","true","ncbigene:57515","false","SERINC1","SourceNode;gene;protein"
,"SEMA4G","SEMA4G","9606","true","SEMA4G","false","SEMA4G","SourceNode;gene;protein"
,"SEC61A2","SEC61A2","9606","true","entrez gene:55176","false","SEC61A2","SourceNode;gene;protein"
"ncbigene:6389|CMD1GG|FP|PGL5|SDH1|SDH2|SDHF","SDHA","SDHA","9606","true","ncbigene:6389","false","SDHA","SourceNode;gene;protein"
"CDCD2|CMD1E|CMPD2|HB1|HB2|HBBD|HH1|ICCD|IVF|LQT3|Nav1.5|PFHB1|SSS1|VF1","SCN5A","SCN5A","9606","true","ensembl:ENSG00000183873","false","SCN5A","SourceNode;gene;protein"
"HOKPP2|HYKPP|HYPP|NAC1A|Na(V)1.4|Nav1.4|SkM1","SCN4A","SCN4A","9606","true","SCN4A","false","SCN4A","SourceNode;gene;protein"
"SRA1|ncbigene:58506","SCAF1","SCAF1","9606","true","ncbigene:58506","false","SCAF1","SourceNode;gene;protein"
"CHBL2|DCIP|HDDC1|MOP-5|SBBI88","SAMHD1","SAMHD1","9606","true","ncbigene:25939","false","SAMHD1","SourceNode;gene;protein"
"ZNF796","SALL3","SALL3","9606","true","ncbigene:27164","false","SALL3","SourceNode;gene;protein"
"ARSACS|DNAJC29|PPP1R138|SPAX6","SACS","SACS","9606","true","entrez gene:26278","false","SACS","SourceNode;gene;protein"
"RYR-3","RYR3","RYR3","9606","true","ncbigene:6263","false","RYR3","SourceNode;gene;protein"
"ARVC2|ARVD2|RYR-2|RyR|VTSIP","RYR2","RYR2","9606","true","RYR2","false","RYR2","SourceNode;gene;protein"
"CCO|MHS|MHS1|PPP1R137|RYDR|RYR|RYR-1|SKRR","RYR1","RYR1","9606","true","ncbigene:6261","false","RYR1","SourceNode;gene;protein"
"DAUDI6|H-2RIIBP|NR2B2|RCoR-1","RXRB","RXRB","9606","true","ncbigene:6257","false","RXRB","SourceNode;gene;protein"
"MART1|Mar1|PEG11","RTL1","RTL1","9606","true","entrez gene:388015","false","RTL1","SourceNode;gene;protein"
,"RTEL1-TNFRSF6B","RTEL1-TNFRSF6B","9606","true","ncbigene:100533107","false","RTEL1-TNFRSF6B","SourceNode;protein"
"C20orf41|DKCA4|DKCB5|NHL|RTEL","RTEL1","RTEL1","9606","true","ncbigene:51750","false","RTEL1","SourceNode;gene;protein"
"ncbigene:27341|BK126B4.3|CGI-96","RRP7A","RRP7A","9606","true","RRP7A","false","RRP7A","SourceNode;gene;protein"
"ES/130|ES130|RRp|hES","RRBP1","RRBP1","9606","true","ncbigene:6238","false","RRBP1","SourceNode;gene;protein"
"KOG1|Mip1|ncbigene:57521","RPTOR","RPTOR","9606","true","ncbigene:57521","false","RPTOR","SourceNode;gene;protein"
"ncbigene:6134|AUTSX5|DXS648|DXS648E|L10|NOV|QM","RPL10","RPL10","9606","true","ensembl:ENSG00000147403","false","RPL10","SourceNode;gene;protein"
,"RP4-576H24.4","RP4-576H24.4",,,,"false","RP4-576H24.4","SourceNode"
"DCDC4B","RP1L1","RP1L1","9606","true","ncbigene:94137","false","RP1L1","SourceNode;gene;protein"
,"RP11-886H22.1","RP11-886H22.1",,,,"false","RP11-886H22.1","SourceNode"
,"RP11-830F9.6","RP11-830F9.6",,,,"false","RP11-830F9.6","SourceNode"
